timestamp,thrust_0,thrust_1,thrust_2,thrust_3,thrust_4,thrust_5
9.252,0,0,0,0,0,0
9.302,0,0,0,0,0,0
9.352,0,0,0,0,0,0
9.402,0,0,0,0,0,0
9.452,0,0,0,0,0,0
9.502,0,0,0,0,0,0
9.552,0,0,0,0,0,0
9.602,0,0,0,0,0,0
9.652,0,0,0,0,0,0
9.702,0,0,0,0,0,0
9.752,0,0,0,0,0,0
9.802,0,0,0,0,0,0
9.852,0,0,0,0,0,0
9.902,0,0,0,0,0,0
9.952,0,0,0,0,0,0
10.002,0,0,0,0,0,0
10.052,0,0,0,0,0,0
10.102,0,0,0,0,0,0
10.152,0,0,0,0,0,0
10.202,0,0,0,0,0,0
10.252,0,0,0,0,0,0
10.302,0,0,0,0,0,0
10.352,0.24489929,0,0,0,0,0
10.402,0.843042636,-0.028903228,-0.200262357,-0.226115082,0.226233772,0.226233772
10.452,1.557105454,-0.36405794,-0.766668727,-0.408200013,0.815761481,0.753922367
10.502,2.263776218,-1.005352635,-1.475450092,-0.16539297,1.528128979,1.270311569
10.552,2.905450055,-1.725672038,-2.186732956,-0.000162239,2.2365209,1.270311569
10.602,3.460573364,-2.420626992,-2.837290864,0.152784995,2.881379924,1.979017554
10.652,3.926497881,-3.043115147,-3.402542954,0.515732693,3.440102756,2.20157265
10.702,4.30973608,-3.577194086,-3.402542954,0.515732693,3.909509228,2.20157265
10.752,4.62056085,-4.023027849,-4.270381338,1.064141441,4.295870796,3.352226616
10.802,4.870127269,-3.142311796,-1.996346916,0.132525624,4.609377707,3.3893325
10.852,5.069036252,-3.158430345,-1.187288696,-0.062125999,4.861184407,3.098541115
10.902,5.226704292,-3.168074407,-1.742021493,-0.47132936,5.061929966,3.153190266
10.952,5.351168833,-3.624696468,-1.742021493,-0.47132936,5.221084039,3.153190266
11.002,5.449116368,-4.062226076,-2.425927645,-0.321462006,5.346739692,3.277740628
11.052,5.526013281,-4.420238352,-3.58110133,0.283100897,5.445635359,3.736918764
11.102,5.586273854,-1.803136967,-1.480492278,-1.71E-05,5.523283109,3.736918764
